Age,Gender,Program_Stream,Daily_Study_Hours,Weekly_Revision_Days,Study_Hours_Before_Exam,Number_of_Subjects,Class_Attendance_Percentage,Assignment_Quality_Rating,Group_Study,Coaching_or_Tuition,Average_Sleep_Hours,Caffeine_Intake_Cups,Daily_Screen_Time_Hours,Exercise_Days_Per_Week,Daily_Commute_Time_Minutes,Part_Time_Job,Stress_Level,Motivation_Level,Concentration_Ability,Study_Environment_Quality,Phone_Usage_During_Study_Minutes,Uses_AI_Tools,Uses_Handwritten_Notes,Preferred_Study_Time,Final_Score_Percentage
20,Male,CSE,1.0,0,12,4,72.0,10,1,0,8,2.0,6.0,6,15,0,5,5,5,5,10,1,0,Night (6:00 PM - 6:00 AM),70.0
22,Male,CSE,2.0,0,5,4,89.0,7,0,0,6,0.0,3.0,5,240,0,5,7,8,8,9,1,0,Night (6:00 PM - 6:00 AM),80.0
20,Male,CSE,1.0,0,12,4,72.0,10,1,0,8,2.0,6.0,6,15,0,5,5,5,5,10,1,0,Night (6:00 PM - 6:00 AM),70.0
20,Male,B.DES,1.0,0,3,2,85.0,5,0,0,6,0.0,7.0,6,5,0,4,5,6,6,50,1,0,Night (6:00 PM - 6:00 AM),90.0
20,Male,CSE,2.0,2,6,6,76.0,6,0,0,10,1.0,6.0,2,1,0,7,8,5,7,2,1,1,Night (6:00 PM - 6:00 AM),87.0
20,Male,CSE,1.0,1,3,5,50.0,5,0,0,8,2.0,4.0,5,60,0,7,2,5,5,180,1,0,Night (6:00 PM - 6:00 AM),70.0
18,Male,DROPOUT,6.0,1,1,7,33.33,2,0,1,8,0.0,4.0,0,3,0,10,1,9,10,240,0,0,Night (6:00 PM - 6:00 AM),33.33
21,Female,BBA,0.0,0,8,1,91.0,10,1,0,8,0.0,8.0,0,1,1,10,5,5,5,30,1,1,Night (6:00 PM - 6:00 AM),92.0
19,Female,BA,1.0,0,3,5,85.0,8,0,0,10,0.0,14.0,0,40,0,6,3,2,3,40,1,1,Morning (6:00 AM - 12:00 PM),72.0
24,Female,BHMS,3.0,2,8,4,75.0,8,1,0,8,1.0,2.0,4,1,0,2,8,6,6,50,1,1,Morning (6:00 AM - 12:00 PM),68.0
19,Male,CSE,1.0,0,0,6,75.2,2,0,0,10,2.0,5.0,0,40,0,7,2,10,3,20,1,1,Night (6:00 PM - 6:00 AM),76.0
24,Female,BHMS,16.0,7,12,6,98.0,5,0,0,6,1.0,4.0,4,6,0,4,5,4,5,6,0,1,Night (6:00 PM - 6:00 AM),76.0
24,Female,BHMS,3.0,7,8,5,69.0,9,1,0,9,4.0,5.0,5,70,0,4,8,8,7,80,1,1,Morning (6:00 AM - 12:00 PM),71.0
24,Female,BHMS,1.0,1,5,12,50.0,2,0,0,10,2.0,8.0,1,50,0,7,3,2,2,60,1,1,Morning (6:00 AM - 12:00 PM),91.0
19,Male,CSE,5.0,1,12,5,74.0,8,0,0,4,0.0,3.0,0,1,0,9,4,8,3,0,1,0,Night (6:00 PM - 6:00 AM),78.0
20,Male,CSE,0.5,0,8,6,85.0,7,0,0,6,0.0,8.0,2,30,0,1,5,10,5,15,1,0,Night (6:00 PM - 6:00 AM),89.0
